filename    filesize    num_reads   time
DN_V4G_Plate4_F3_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  5.7M    123294
KE_V8S_Plate2_F6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  5.8M    120208
WH_V1G_Plate4_B12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 5.9M    130967
RE_T3_Plate4_B4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   6.4M    130508
DS_T3_Plate4_A9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   7.0M    156187
RE_V4S_Plate3_G9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  7.4M    150334
CH_V1G_Plate4_E4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  7.4M    181096
SC_V8L_Plate2_E12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 7.8M    164227
EY_V5S_Plate2_F8_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  8.5M    171342
BK_V1G_Plate4_H10_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 8.7M    204110
TV_V2L_Plate2_D7_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  9.1M    182811
EY_V4B_Plate1_H4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  9.2M    236906
KE_V8L_Plate1_B4_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  9.9M    235724
TH_V4G_Plate1_F9_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  10M    243868
KE_V7G_Plate1_B6_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  11M    229446
SC_V8L_Plate3_E12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 11M    208374
AB_V1B_Plate4_H12_m84250R1_241126_003500_s4.hifi_reads.fastq.gz 11M    270975
RE_V3B_Plate1_F5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  12M    233331
DN_V3S_Plate2_B5_m84250R1_241126_003500_s4.hifi_reads.fastq.gz  13M    277205
AB_T3_Plate4_A2_m84250R1_241126_003500_s4.hifi_reads.fastq.gz   14M    302787
